district,high_school_code,seats,year,total_admission_score,chinese_admission_score,math_admission_score,english_admission_score,physics_admission_score,chemistry_admission_score,politics_admission_score,history_admission_score
静安区,072002,13,2025,749.0,141.0,120.0,145.0,,,,
静安区,073003,7,2025,719.5,127.0,128.0,135.0,,,,
静安区,073082,4,2025,,,,,,,,
静安区,092001,12,2025,733.5,145.0,124.0,128.0,,,,
静安区,092002,4,2025,731.5,141.0,127.0,134.0,,,,
静安区,093001,4,2025,706.0,137.0,121.0,134.0,,,,
静安区,102004,4,2025,721.0,126.0,120.0,135.0,,,,
静安区,102032,10,2025,742.0,146.0,122.0,137.0,,,,
静安区,103002,2,2025,722.5,127.0,128.0,129.0,,,,
静安区,122001,5,2025,750.5,140.0,132.0,138.0,,,,
静安区,123001,5,2025,662.0,121.0,117.0,116.0,,,,
静安区,122002,5,2025,753.5,144.0,128.0,141.0,,,,
静安区,122003,3,2025,735.5,137.0,125.0,138.0,,,,
静安区,122004,6,2025,746.0,146.0,123.0,136.0,,,,
静安区,132001,6,2025,720.0,137.0,119.0,143.0,,,,
静安区,132002,5,2025,713.5,124.0,135.0,124.0,,,,
静安区,133001,5,2025,713.5,122.0,128.0,127.0,,,,
静安区,132003,3,2025,732.0,137.0,123.0,140.0,,,,
静安区,133003,6,2025,,,,,,,,
静安区,142001,6,2025,730.5,128.0,132.0,135.0,,,,
静安区,142002,8,2025,750.0,146.0,130.0,138.0,,,,
静安区,142004,1,2025,731.5,132.0,124.0,131.0,,,,
静安区,152001,9,2025,692.0,134.0,114.0,117.0,,,,
静安区,152002,7,2025,740.5,138.0,127.0,133.0,,,,
静安区,152004,8,2025,699.0,127.0,123.0,119.0,,,,
静安区,153001,9,2025,,,,,,,,
静安区,153004,6,2025,701.5,121.0,131.0,129.0,,,,
静安区,153005,9,2025,717.5,127.0,128.0,128.0,,,,
静安区,151078,7,2025,732.0,138.0,123.0,145.0,,,,
静安区,152005,6,2025,743.5,137.0,131.0,141.0,,,,
静安区,162000,2,2025,717.5,120.0,129.0,133.0,,,,
静安区,163002,3,2025,675.5,114.0,121.0,126.0,,,,
静安区,172001,2,2025,736.0,128.0,136.0,136.0,,,,
静安区,173001,2,2025,696.0,132.0,118.0,121.0,,,,
静安区,174003,3,2025,732.0,128.0,125.0,140.0,,,,
